,id,lottery_date,times,number_1,number_2,number_3,number_4,number_5,number_6,number_7,bonus_number1,bonus_number2,lottery_number
73,23,2013-09-06,23,04,08,11,25,28,29,30,14,32,"04,08,11,25,28,29,30,14,32,"
74,24,2013-09-13,24,04,05,08,10,16,19,33,02,29,"04,05,08,10,16,19,33,02,29,"
75,25,2013-09-20,25,01,06,11,16,17,18,21,10,24,"01,06,11,16,17,18,21,10,24,"
76,26,2013-09-27,26,11,13,16,18,26,31,36,21,27,"11,13,16,18,26,31,36,21,27,"
77,27,2013-10-04,27,01,10,11,14,17,18,28,25,26,"01,10,11,14,17,18,28,25,26,"
78,28,2013-10-11,28,06,07,12,15,19,35,37,01,11,"06,07,12,15,19,35,37,01,11,"
79,29,2013-10-18,29,02,03,16,17,24,26,28,15,31,"02,03,16,17,24,26,28,15,31,"
80,30,2013-10-25,30,06,08,13,22,26,32,36,16,34,"06,08,13,22,26,32,36,16,34,"
81,31,2013-11-01,31,09,12,13,19,23,33,34,20,32,"09,12,13,19,23,33,34,20,32,"
82,32,2013-11-08,32,03,08,15,18,27,29,37,31,34,"03,08,15,18,27,29,37,31,34,"
83,33,2013-11-15,33,01,04,17,24,29,33,36,19,30,"01,04,17,24,29,33,36,19,30,"
84,34,2013-11-22,34,04,06,07,23,24,32,35,08,27,"04,06,07,23,24,32,35,08,27,"
85,35,2013-11-29,35,01,16,18,19,25,30,34,26,36,"01,16,18,19,25,30,34,26,36,"
86,36,2013-12-06,36,05,06,10,11,20,28,36,25,37,"05,06,10,11,20,28,36,25,37,"
87,37,2013-12-13,37,07,08,10,13,14,19,37,29,33,"07,08,10,13,14,19,37,29,33,"
88,38,2013-12-20,38,04,14,19,22,24,29,34,08,31,"04,14,19,22,24,29,34,08,31,"
89,39,2013-12-27,39,07,13,19,23,25,26,30,01,18,"07,13,19,23,25,26,30,01,18,"
90,40,2014-01-10,40,02,06,11,23,26,31,34,07,20,"02,06,11,23,26,31,34,07,20,"
91,41,2014-01-17,41,02,03,08,15,34,35,36,25,28,"02,03,08,15,34,35,36,25,28,"
92,42,2014-01-24,42,02,15,16,17,23,31,33,08,26,"02,15,16,17,23,31,33,08,26,"
93,43,2014-01-31,43,04,06,07,08,24,31,37,05,13,"04,06,07,08,24,31,37,05,13,"
94,44,2014-02-07,44,03,04,06,15,27,28,29,01,14,"03,04,06,15,27,28,29,01,14,"
95,45,2014-02-14,45,01,02,09,18,21,27,33,25,31,"01,02,09,18,21,27,33,25,31,"
96,46,2014-02-21,46,02,05,06,15,23,27,30,04,35,"02,05,06,15,23,27,30,04,35,"
97,47,2014-02-28,47,02,09,11,14,20,21,36,06,15,"02,09,11,14,20,21,36,06,15,"
98,48,2014-03-07,48,03,05,24,26,29,30,34,08,35,"03,05,24,26,29,30,34,08,35,"
99,49,2014-03-14,49,08,11,12,17,24,26,27,14,21,"08,11,12,17,24,26,27,14,21,"
100,50,2014-03-21,50,03,04,07,08,15,24,29,11,16,"03,04,07,08,15,24,29,11,16,"
101,51,2014-03-28,51,01,04,05,08,20,23,35,15,33,"01,04,05,08,20,23,35,15,33,"
102,52,2014-04-04,52,08,10,22,24,26,32,34,05,09,"08,10,22,24,26,32,34,05,09,"
103,53,2014-04-11,53,01,04,14,16,20,33,36,12,30,"01,04,14,16,20,33,36,12,30,"
104,54,2014-04-18,54,01,03,05,10,18,22,23,07,35,"01,03,05,10,18,22,23,07,35,"
105,55,2014-04-25,55,04,12,14,17,23,30,36,13,33,"04,12,14,17,23,30,36,13,33,"
106,56,2014-05-02,56,04,23,26,27,28,32,36,29,30,"04,23,26,27,28,32,36,29,30,"
107,57,2014-05-09,57,05,06,12,16,17,20,33,08,32,"05,06,12,16,17,20,33,08,32,"
108,58,2014-05-16,58,01,06,07,08,23,32,33,11,34,"01,06,07,08,23,32,33,11,34,"
109,59,2014-05-23,59,05,08,12,13,21,30,35,27,34,"05,08,12,13,21,30,35,27,34,"
110,60,2014-05-30,60,03,07,09,15,16,23,34,05,33,"03,07,09,15,16,23,34,05,33,"
111,61,2014-06-06,61,05,10,11,21,28,31,37,13,14,"05,10,11,21,28,31,37,13,14,"
112,62,2014-06-13,62,04,10,12,15,27,32,33,09,16,"04,10,12,15,27,32,33,09,16,"
113,63,2014-06-20,63,04,08,19,24,28,30,32,12,37,"04,08,19,24,28,30,32,12,37,"
114,64,2014-06-27,64,04,15,16,17,20,29,36,19,26,"04,15,16,17,20,29,36,19,26,"
115,65,2014-07-04,65,04,07,12,22,23,24,28,25,34,"04,07,12,22,23,24,28,25,34,"
116,66,2014-07-11,66,01,11,25,28,31,33,37,03,20,"01,11,25,28,31,33,37,03,20,"
117,67,2014-07-18,67,07,11,15,17,18,25,35,06,33,"07,11,15,17,18,25,35,06,33,"
118,68,2014-07-25,68,02,07,13,15,24,34,35,12,23,"02,07,13,15,24,34,35,12,23,"
119,69,2014-08-01,69,13,17,20,22,28,29,37,11,12,"13,17,20,22,28,29,37,11,12,"
120,70,2014-08-08,70,09,10,18,21,27,33,35,04,11,"09,10,18,21,27,33,35,04,11,"
121,71,2014-08-15,71,01,06,13,29,34,35,37,02,15,"01,06,13,29,34,35,37,02,15,"
122,72,2014-08-22,72,11,12,18,19,20,31,32,09,21,"11,12,18,19,20,31,32,09,21,"
123,73,2014-08-29,73,12,16,23,25,27,30,32,28,33,"12,16,23,25,27,30,32,28,33,"
124,74,2014-09-05,74,05,13,14,15,16,24,31,09,11,"05,13,14,15,16,24,31,09,11,"
125,75,2014-09-12,75,04,09,15,17,19,35,37,10,20,"04,09,15,17,19,35,37,10,20,"
126,76,2014-09-19,76,04,13,18,29,32,34,36,24,33,"04,13,18,29,32,34,36,24,33,"
127,77,2014-09-26,77,03,10,23,25,26,28,30,15,29,"03,10,23,25,26,28,30,15,29,"
128,78,2014-10-03,78,05,06,10,14,24,28,36,07,20,"05,06,10,14,24,28,36,07,20,"
129,79,2014-10-10,79,02,04,07,09,21,29,37,06,36,"02,04,07,09,21,29,37,06,36,"
130,80,2014-10-17,80,02,05,10,18,21,24,27,25,34,"02,05,10,18,21,24,27,25,34,"
131,81,2014-10-24,81,01,03,10,18,28,31,35,09,21,"01,03,10,18,28,31,35,09,21,"
132,82,2014-10-31,82,01,03,16,20,25,27,34,18,37,"01,03,16,20,25,27,34,18,37,"
133,83,2014-11-07,83,01,11,21,26,28,32,35,18,22,"01,11,21,26,28,32,35,18,22,"
134,84,2014-11-14,84,08,16,23,28,29,35,36,12,37,"08,16,23,28,29,35,36,12,37,"
135,85,2014-11-21,85,06,07,10,11,22,26,35,14,23,"06,07,10,11,22,26,35,14,23,"
136,86,2014-11-28,86,03,10,20,21,22,26,30,24,35,"03,10,20,21,22,26,30,24,35,"
137,87,2014-12-05,87,08,09,12,18,20,28,31,13,15,"08,09,12,18,20,28,31,13,15,"
138,88,2014-12-12,88,03,04,10,14,25,29,30,18,19,"03,04,10,14,25,29,30,18,19,"
139,89,2014-12-19,89,01,03,11,26,28,34,36,17,20,"01,03,11,26,28,34,36,17,20,"
140,90,2014-12-26,90,02,08,09,13,14,18,37,11,25,"02,08,09,13,14,18,37,11,25,"
141,91,2015-01-09,91,01,05,07,14,15,25,35,18,24,"01,05,07,14,15,25,35,18,24,"
142,92,2015-01-16,92,04,05,15,25,26,29,32,11,27,"04,05,15,25,26,29,32,11,27,"
143,93,2015-01-23,93,02,05,11,14,17,30,32,31,37,"02,05,11,14,17,30,32,31,37,"
144,94,2015-01-30,94,13,19,20,27,28,29,30,26,36,"13,19,20,27,28,29,30,26,36,"
145,95,2015-02-06,95,01,08,13,14,18,30,34,26,36,"01,08,13,14,18,30,34,26,36,"
146,96,2015-02-13,96,09,11,14,21,22,23,24,10,36,"09,11,14,21,22,23,24,10,36,"
147,97,2015-02-20,97,07,13,14,16,22,24,35,01,29,"07,13,14,16,22,24,35,01,29,"
148,98,2015-02-27,98,03,09,11,13,19,25,33,10,30,"03,09,11,13,19,25,33,10,30,"
149,99,2015-03-06,99,13,17,22,24,27,28,35,11,19,"13,17,22,24,27,28,35,11,19,"
150,100,2015-03-13,100,01,02,11,16,25,35,36,09,14,"01,02,11,16,25,35,36,09,14,"
151,101,2015-03-20,101,11,12,21,23,28,36,37,03,16,"11,12,21,23,28,36,37,03,16,"
152,102,2015-03-27,102,01,04,08,27,28,29,31,13,25,"01,04,08,27,28,29,31,13,25,"
153,103,2015-04-03,103,02,03,11,12,22,35,36,30,34,"02,03,11,12,22,35,36,30,34,"
154,104,2015-04-10,104,07,09,11,15,16,22,37,12,13,"07,09,11,15,16,22,37,12,13,"
155,105,2015-04-17,105,03,15,19,20,26,28,33,17,21,"03,15,19,20,26,28,33,17,21,"
156,106,2015-04-24,106,06,10,12,19,21,22,30,01,11,"06,10,12,19,21,22,30,01,11,"
157,107,2015-05-01,107,03,08,09,13,17,27,33,29,31,"03,08,09,13,17,27,33,29,31,"
158,108,2015-05-08,108,02,06,07,08,28,30,36,18,21,"02,06,07,08,28,30,36,18,21,"
159,109,2015-05-15,109,06,17,20,21,24,30,32,07,23,"06,17,20,21,24,30,32,07,23,"
160,110,2015-05-22,110,04,12,22,30,31,35,36,19,37,"04,12,22,30,31,35,36,19,37,"
161,111,2015-05-29,111,07,08,09,24,28,30,33,01,34,"07,08,09,24,28,30,33,01,34,"
162,112,2015-06-05,112,06,07,10,15,27,35,36,13,20,"06,07,10,15,27,35,36,13,20,"
163,113,2015-06-12,113,04,06,07,09,15,17,37,14,20,"04,06,07,09,15,17,37,14,20,"
